79,writeln,shift,42
79,readln,shift,43
79,repeat-stateexpressionment,shift,39
79,while,shift,44
79,until,reduce,30
79,for,shift,45
79,if,shift,41
79,else,reduce,30
80,;,reduce,61
80,),reduce,61
80,end,reduce,61
80,do,reduce,61
80,until,reduce,61
80,to,reduce,61
80,downto,reduce,61
80,then,reduce,61
80,else,reduce,61
81,identifier,reduce,67
81,(,reduce,67
81,string,reduce,67
81,number,reduce,67
81,+,shift,59
81,-,shift,60
81,not,shift,67
82,;,reduce,78
82,identifier,reduce,78
82,(,reduce,78
82,),reduce,78
82,end,reduce,78
82,string,reduce,78
82,number,reduce,78
82,do,reduce,78
82,until,reduce,78
82,to,reduce,78
82,downto,reduce,78
82,then,reduce,78
82,else,reduce,78
82,+,reduce,78
82,-,reduce,78
82,not,reduce,78
83,;,reduce,79
83,identifier,reduce,79
83,(,reduce,79
83,),reduce,79
83,end,reduce,79
83,string,reduce,79
83,number,reduce,79
83,do,reduce,79
83,until,reduce,79
83,to,reduce,79
83,downto,reduce,79
83,then,reduce,79
83,else,reduce,79
83,+,reduce,79
83,-,reduce,79
83,not,reduce,79
84,;,reduce,80
84,identifier,reduce,80
84,(,reduce,80
84,),reduce,80
84,end,reduce,80
84,string,reduce,80
84,number,reduce,80
84,do,reduce,80
84,until,reduce,80
84,to,reduce,80
84,downto,reduce,80
84,then,reduce,80
84,else,reduce,80
84,+,reduce,80
84,-,reduce,80
84,not,reduce,80
85,;,reduce,81
85,identifier,reduce,81
85,(,reduce,81
85,),reduce,81
85,end,reduce,81
85,string,reduce,81
85,number,reduce,81
85,do,reduce,81
85,until,reduce,81
85,to,reduce,81
85,downto,reduce,81
85,then,reduce,81
85,else,reduce,81
85,+,reduce,81
85,-,reduce,81
85,not,reduce,81
86,;,reduce,82
86,identifier,reduce,82
86,(,reduce,82
86,),reduce,82
86,end,reduce,82
86,string,reduce,82
86,number,reduce,82
86,do,reduce,82
86,until,reduce,82
86,to,reduce,82
86,downto,reduce,82
86,then,reduce,82
86,else,reduce,82
86,+,reduce,82
86,-,reduce,82
86,not,reduce,82
87,;,reduce,83
87,identifier,reduce,83
87,(,reduce,83
87,),reduce,83
87,end,reduce,83
87,string,reduce,83
87,number,reduce,83
87,do,reduce,83
87,until,reduce,83
87,to,reduce,83
87,downto,reduce,83
87,then,reduce,83
87,else,reduce,83
87,+,reduce,83
87,-,reduce,83
87,not,reduce,83
88,;,reduce,69
88,),reduce,69
88,end,reduce,69
88,do,reduce,69
88,until,reduce,69
88,to,reduce,69
88,downto,reduce,69
88,then,reduce,69
88,else,reduce,69
88,+,shift,112
88,-,shift,113
88,=,reduce,69
88,<>,reduce,69
88,<,reduce,69
88,<=,reduce,69
88,>,reduce,69
88,>=,reduce,69
88,or,shift,114
